Date,Open,High,Low,Close,Adj Close,Volume
2017-05-04,26.233334,26.366667,25.313334,25.400000,20.968866,20278350
2017-05-05,25.526667,25.866667,25.293333,25.799999,21.299084,17243400
2017-05-08,25.606667,26.053333,25.606667,25.860001,21.348627,12199800
2017-05-09,25.986666,26.066666,25.806665,25.926666,21.403658,8084400
2017-05-10,26.200001,26.253332,25.926666,26.053333,21.508219,12045900
2017-05-11,26.160000,26.600000,26.020000,26.500000,21.876968,12737850
2017-05-12,26.660000,26.799999,26.453333,26.753332,22.086107,28229100
2017-05-15,26.766666,26.959999,26.580000,26.866667,22.179672,14231700
2017-05-16,26.900000,26.959999,26.573334,26.833332,22.152157,16245900
2017-05-17,26.553333,26.753332,26.093332,26.286667,21.700848,20507250
2017-05-18,21.133333,23.959999,21.133333,23.120001,19.086622,104917200
2017-05-19,23.833332,24.280001,23.426666,23.719999,19.581949,43700100
2017-05-22,23.459999,23.506666,22.900000,23.253332,19.196695,35917950
2017-05-23,23.440001,23.860001,23.353333,23.620001,19.499388,28627800
2017-05-24,23.680000,24.246666,23.680000,23.813334,19.658998,28675050
2017-05-25,23.986666,24.073334,23.213333,23.366667,19.290253,32543850
2017-05-26,23.613333,24.120001,23.606667,24.000000,19.813105,27228150
2017-05-29,24.000000,24.000000,24.000000,24.000000,19.813105,0
2017-05-30,23.860001,24.053333,23.820000,23.953333,19.774574,8022150
2017-05-31,23.913334,24.146666,23.680000,23.700001,19.565443,19564950
2017-06-01,23.786667,23.879999,23.306665,23.420000,19.342453,13509900
2017-06-02,23.653334,23.786667,23.420000,23.653334,19.535158,14079600
2017-06-05,23.520000,23.926666,23.466665,23.626665,19.513136,12693150
2017-06-06,23.606667,24.113333,23.533333,24.006666,19.826971,18809400
2017-06-07,24.233334,24.513332,24.186666,24.400000,20.151829,15582750
2017-06-08,24.320000,24.326666,23.940001,24.146666,19.942589,13777800
2017-06-09,24.266666,24.326666,23.733334,23.766666,19.628748,16345200
2017-06-12,23.700001,23.799999,23.446667,23.766666,19.628748,14480100
2017-06-13,23.813334,24.086666,23.799999,24.059999,19.871023,15329400
2017-06-14,24.186666,24.540001,24.120001,24.273333,20.047211,31013550
2017-06-15,24.273333,24.273333,24.273333,24.273333,20.047211,0
2017-06-16,24.186666,24.200001,23.879999,24.100000,19.904060,25118100
